,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
19,LUT,RM,3,9.33,0.33,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.33,1.33,0.0,0.0,0.0,0.0,1.33,0.0,0.33,1.33,0.33,0.0,5.0,-1.0,0.67,1.0,17.08,94.0,46.0,-16.0,18.0,14.0,4.0
21,LUT,WB,3,8.05,0.0,2.38,0.19,0.06,1.31,0.38,0.0,1.0,0.94,2.25,0.19,0.0,0.0,0.0,1.75,0.0,0.19,2.12,0.12,0.0,8.17,-1.19,0.38,1.0,10.94,294.5,322.5,-66.0,-37.0,-61.0,28.0
0,BUR,AM,2,7.5,0.33,0.33,0.0,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,0.0,1.67,0.0,0.33,1.67,0.0,0.0,6.17,-1.67,0.0,1.0,16.17,98.0,66.0,-4.0,-8.0,8.0,-16.0
30,SHU,RM,2,6.7,0.0,1.73,0.36,0.0,1.82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.73,0.0,0.0,5.66,-1.5,0.73,1.0,11.02,83.5,77.5,-18.0,-9.75,-15.25,1.5
16,LUT,LM,3,6.33,0.0,2.0,0.0,0.33,0.67,0.0,0.0,1.67,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,7.67,-1.33,0.67,1.0,13.75,104.0,112.0,-8.0,-28.0,-20.0,-8.0
4,BUR,FW,3,6.24,0.23,0.58,0.15,0.73,0.46,0.08,0.08,0.0,0.19,0.85,0.23,0.0,0.0,0.0,2.27,0.08,0.38,1.88,0.58,0.0,5.29,-2.2,0.69,1.0,17.15,363.0,268.0,-61.0,-38.5,7.0,-53.5
24,SHU,CM,5,6.17,0.06,0.73,0.0,0.41,1.41,0.23,0.0,0.22,0.9,1.75,0.37,0.0,0.0,0.0,2.22,0.08,0.06,1.63,0.0,0.02,6.88,-1.33,0.51,1.0,13.85,616.0,645.5,-91.5,13.0,56.75,-43.75
17,LUT,LW,1,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.5,-0.5,1.0,1.0,9.0,38.0,40.0,-2.0,-14.0,-14.0,0.0
15,LUT,LB,3,5.92,0.0,0.86,0.0,0.38,1.38,0.05,0.0,1.14,0.57,1.71,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.76,0.0,0.0,6.82,-0.9,0.38,1.0,19.67,133.0,143.0,-10.0,-8.75,0.25,-9.0
18,LUT,RB,3,5.8,0.0,1.33,0.0,0.0,0.57,0.05,0.0,1.14,0.9,2.48,0.38,0.0,0.0,0.0,1.29,0.0,0.0,1.62,0.0,0.0,7.62,-1.25,0.38,1.0,15.06,134.5,189.0,-54.5,-12.75,-29.0,28.25
6,BUR,LM,3,5.3,0.0,1.39,0.12,0.06,1.39,0.0,0.0,0.12,0.45,1.55,0.09,0.0,0.0,0.0,2.67,0.0,0.12,0.64,0.55,0.0,5.83,-1.39,0.79,1.0,9.28,233.0,224.0,-15.0,-58.25,-31.5,-30.75
14,LUT,FW,3,5.26,0.18,0.76,0.06,0.45,0.36,0.06,0.0,0.06,0.3,1.17,0.02,0.0,0.0,0.0,1.62,0.03,0.24,1.61,0.5,0.12,5.39,-2.19,0.39,1.0,11.77,455.0,378.5,-55.5,-108.0,-22.75,-89.25
9,BUR,RM,4,5.25,0.0,1.48,0.16,0.16,0.76,0.0,0.0,0.28,0.48,0.76,0.0,0.0,0.0,0.0,1.92,0.0,0.16,0.88,0.16,0.0,5.29,-1.16,0.72,1.0,5.43,159.5,146.5,-11.0,-28.25,-14.25,-18.0
12,LUT,CB,6,5.15,0.07,0.23,0.07,0.11,1.23,0.14,0.0,0.0,1.13,3.44,0.77,0.0,0.0,0.03,1.89,0.0,0.14,1.11,0.03,0.0,6.81,-1.03,0.45,1.0,10.82,426.0,767.5,-477.5,145.5,-11.75,363.25
3,BUR,DM,3,5.08,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,2.5,0.67,0.0,0.0,0.0,1.83,0.0,0.0,2.67,0.0,0.0,6.46,-1.38,0.0,1.0,15.5,80.0,114.0,-34.0,42.0,41.0,1.0
27,SHU,LM,3,4.73,0.0,0.36,0.0,0.0,2.09,0.0,0.0,0.0,0.73,2.18,0.36,0.0,0.0,0.0,1.91,0.0,0.0,1.73,0.36,0.0,5.82,-1.09,0.73,1.0,4.05,44.0,52.0,-8.0,8.0,12.0,-4.0
7,BUR,LW,6,4.66,0.17,1.04,0.0,0.65,0.52,0.17,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,1.35,0.17,0.17,1.78,0.35,0.0,5.25,-2.15,0.35,1.0,4.07,144.0,141.0,-33.0,-36.75,-20.25,-16.5
25,SHU,FW,6,4.61,0.15,0.66,0.12,0.62,0.25,0.24,0.06,0.06,0.22,0.53,0.18,0.0,0.0,0.0,2.24,0.0,0.21,2.04,0.63,0.06,5.26,-2.81,0.5,1.0,8.78,366.5,354.0,-125.5,-53.25,4.0,-65.25
22,SHU,AM,3,4.42,0.22,1.0,0.0,0.44,0.0,0.33,0.0,0.22,0.78,0.67,0.0,0.0,0.0,0.0,3.44,0.0,0.22,2.44,0.22,0.0,4.47,-2.06,0.56,1.0,8.5,100.0,86.0,-22.0,-20.5,-5.5,-15.0
13,LUT,CM,6,4.02,0.0,0.64,0.0,0.13,1.17,0.18,0.0,0.12,0.72,0.71,0.25,0.0,0.0,0.0,1.83,0.0,0.0,1.95,0.0,0.0,5.29,-1.27,0.4,1.0,8.1,379.0,457.5,-78.5,18.5,66.0,-47.5
11,LUT,AM,3,3.94,0.0,0.5,0.0,0.25,0.67,0.17,0.0,0.42,0.33,0.83,0.25,0.0,0.0,0.0,1.25,0.17,0.0,1.42,0.67,0.0,5.79,-1.94,0.5,1.0,9.94,104.0,130.0,-28.0,-9.5,9.0,-18.5
2,BUR,CM,3,3.78,0.0,0.64,0.09,0.04,0.62,0.32,0.0,0.17,0.47,0.26,0.62,0.0,0.0,0.0,2.53,0.0,0.09,2.17,0.0,0.0,4.39,-1.2,0.85,1.0,9.01,160.0,177.0,-41.0,17.75,29.25,-15.5
1,BUR,CB,4,3.4,0.0,0.21,0.03,0.1,0.93,0.15,0.0,0.06,1.38,3.85,0.97,0.0,0.0,0.0,2.43,0.0,0.03,1.19,0.0,0.0,7.0,-0.96,0.61,1.0,4.06,184.25,683.25,-520.0,148.75,3.0,425.75
32,SHU,WB,5,3.31,0.0,0.38,0.08,0.08,0.58,0.17,0.0,0.54,0.62,2.58,0.5,0.0,0.0,0.0,1.67,0.08,0.0,1.5,0.25,0.0,5.02,-1.46,0.42,1.0,2.83,111.0,249.0,-190.0,48.0,-8.0,120.0
23,SHU,CB,6,2.45,0.0,0.14,0.05,0.07,1.11,0.33,0.0,0.02,1.32,4.65,1.02,0.0,0.02,0.0,2.72,0.0,0.03,1.86,0.07,0.0,6.79,-1.25,0.53,1.0,5.16,134.75,817.75,-725.0,149.5,-30.5,580.0
20,LUT,RW,1,1.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.75,-4.0,1.0,1.0,11.0,18.0,22.0,-4.0,-11.0,1.0,-12.0
5,BUR,LB,3,1.58,0.07,0.49,0.0,0.07,0.44,0.27,0.0,0.24,0.59,2.0,0.59,0.0,0.0,0.0,2.49,0.0,0.07,1.9,0.0,0.0,5.02,-1.13,0.54,1.0,4.6,1.0,202.5,-231.5,63.75,3.5,185.25
10,BUR,RW,3,1.1,0.0,0.59,0.0,0.15,0.44,0.0,0.0,0.0,0.26,0.15,0.0,0.0,0.0,0.0,1.26,0.15,0.0,0.78,0.3,0.0,2.81,-1.71,0.3,1.0,6.51,83.5,94.5,-11.0,-53.75,-18.5,-35.25
28,SHU,LW,1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,-0.5,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,-2.0
8,BUR,RB,3,0.38,0.0,0.31,0.09,0.0,0.53,0.18,0.09,0.09,0.71,2.4,0.36,0.0,0.0,0.0,2.27,0.0,0.09,1.64,0.0,0.0,3.96,-1.67,0.58,1.0,0.69,-70.0,163.0,-261.0,87.0,15.25,185.75
31,SHU,RW,1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.25,-4.25,1.0,1.0,0.0,18.0,20.0,-2.0,-18.0,-3.0,-15.0
29,SHU,RB,1,-0.61,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.57,2.43,0.57,0.0,0.0,0.0,2.43,0.0,0.0,4.0,0.0,0.0,3.75,-1.5,0.57,1.0,5.75,-4.75,35.25,-40.0,0.5,-9.0,29.5
26,SHU,LB,1,-4.16,0.0,0.0,0.0,0.0,0.27,0.36,0.0,0.0,2.0,2.73,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.73,0.0,0.0,5.16,-1.32,0.73,1.0,0.84,-65.5,52.5,-118.0,19.75,4.25,103.5
