minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
8,Christian Norgaard,Brentford,0.02,,Blocked,26,Right Foot,,Saman Ghoddos,Pass (Live),Saman Ghoddos,Pass (Live),14
21,Neal Maupay,Brentford,0.28,0.60,Saved,4,Head,,Christian Norgaard,Pass (Dead),,,14
27,Saman Ghoddos,Brentford,0.01,,Blocked,31,Right Foot,Volley,Vitaly Janelt,Pass (Live),Bryan Mbeumo,Pass (Dead),14
29,Bryan Mbeumo,Brentford,0.03,,Off Target,26,Left Foot,,Ben Mee,Pass (Dead),Frank Onyeka,Fouled,14
37,Bryan Mbeumo,Brentford,0.03,,Blocked,29,Left Foot,,Frank Onyeka,Pass (Live),,,14
37,Ben Mee,Brentford,0.03,,Off Target,12,Head,,Neal Maupay,Pass (Live),Vitaly Janelt,Pass (Live),14
39,Bryan Mbeumo,Brentford,0.06,,Blocked,12,Left Foot,Volley,Ethan Pinnock,Pass (Live),Ben Mee,Pass (Live),14
39,Yoane Wissa,Brentford,0.04,0.05,Saved,29,Right Foot,,Ben Mee,Pass (Live),Christian Norgaard,Pass (Live),14
45+1,Neal Maupay,Brentford,0.01,,Off Target,30,Right Foot,Volley,Christian Norgaard,Pass (Live),Vitaly Janelt,Pass (Live),14
45+2,Bryan Mbeumo,Brentford,0.22,,Off Target,13,Left Foot,,Vitaly Janelt,Pass (Live),,Pass (Live),14
49,Ben Mee,Brentford,0.09,,Off Target,11,Left Foot,Volley,Yoane Wissa,Pass (Live),,Pass (Live),14
49,Neal Maupay,Brentford,0.54,0.89,Goal,6,Right Foot,,Ben Mee,Shot,,,14
54,Yoane Wissa,Brentford,0.02,,Blocked,24,Right Foot,,Ben Mee,Pass (Live),Vitaly Janelt,Pass (Live),14
54,Frank Onyeka,Brentford,0.04,,Off Target,21,Right Foot,,,,,,14
56,Neal Maupay,Brentford,0.13,,Blocked,5,Left Foot,Volley,,Pass (Live),,Pass (Live),14
56,Ben Mee,Brentford,0.07,0.06,Goal,8,Head,Deflected,Bryan Mbeumo,Pass (Dead),,,14
59,Saman Ghoddos,Brentford,0.03,,Off Target,18,Right Foot,Volley,Yoane Wissa,Pass (Live),,,14
62,Jacob Brown,Luton Town,0.04,,Off Target,15,Left Foot,Volley,Jordan Clark,Pass (Live),Amari'i Bell,Pass (Live),14
65,Ethan Pinnock,Brentford,0.06,,Blocked,10,Head,,Bryan Mbeumo,Fouled,Neal Maupay,Pass (Live),14
71,Yoane Wissa,Brentford,0.03,,Blocked,16,Right Foot,,Christian Norgaard,Pass (Live),Bryan Mbeumo,Pass (Live),14
76,Jacob Brown,Luton Town,0.09,0.15,Goal,21,Left Foot,,Amari'i Bell,Pass (Live),Gabriel Osho,Pass (Live),14
81,Keane Lewis-Potter,Brentford,0.15,,Blocked,13,Right Foot,,Keane Lewis-Potter,Take-On,Vitaly Janelt,Pass (Live),14
81,Keane Lewis-Potter,Brentford,0.05,,Blocked,13,Right Foot,Volley,Keane Lewis-Potter,Shot,,,14
81,Keane Lewis-Potter,Brentford,0.09,0.12,Saved,9,Right Foot,,Shandon Baptiste,Pass (Live),Shandon Baptiste,Take-On,14
82,Shandon Baptiste,Brentford,0.70,0.97,Goal,4,Right Foot,,Keane Lewis-Potter,Shot,,,14
84,Ross Barkley,Luton Town,0.02,,Blocked,29,Left Foot,,,,,,14
87,Tahith Chong,Luton Town,0.03,,Blocked,29,Left Foot,,Ross Barkley,Pass (Live),Amari'i Bell,Pass (Live),14
87,Elijah Adebayo,Luton Town,0.02,,Blocked,26,Right Foot,,Tahith Chong,Pass (Live),Jacob Brown,Pass (Live),14
90,Ross Barkley,Luton Town,0.01,,Blocked,19,Right Foot,,Tahith Chong,Fouled,Ross Barkley,Pass (Live),14
90+6,Frank Onyeka,Brentford,0.51,,Blocked,9,Right Foot,,Vitaly Janelt,Pass (Live),Mads Roerslev,Pass (Live),14
90+6,Keane Lewis-Potter,Brentford,0.11,,Off Target,9,Left Foot,,Frank Onyeka,Shot,,,14
90+6,Keane Lewis-Potter,Brentford,0.17,,Off Target,7,Right Foot,,Keane Lewis-Potter,Shot,,,14
90+7,Ross Barkley,Luton Town,0.03,,Blocked,29,Right Foot,,Ross Barkley,Take-On,Andros Townsend,Pass (Live),14
6,Bukayo Saka,Arsenal,0.18,0.16,Goal,9,Right Foot,,Bukayo Saka,Take-On,Takehiro Tomiyasu,Pass (Live),14
13,Martin Odegaard,Arsenal,0.17,0.27,Goal,16,Left Foot,,Oleksandr Zinchenko,Pass (Live),Gabriel Jesus,Pass (Live),14
20,Leandro Trossard,Arsenal,0.18,0.61,Saved,5,Right Foot,,Martin Odegaard,Pass (Live),Bukayo Saka,Pass (Live),14
25,Gabriel Martinelli,Arsenal,0.08,,Blocked,13,Right Foot,,Gabriel Jesus,Pass (Live),Martin Odegaard,Pass (Live),14
25,Leandro Trossard,Arsenal,0.14,,Blocked,14,Left Foot,,Gabriel Martinelli,Shot,,,14
27,Declan Rice,Arsenal,0.05,,Blocked,18,Left Foot,,Gabriel Martinelli,Fouled,Oleksandr Zinchenko,Pass (Live),14
31,Matheus Cunha,Wolves,0.32,,Off Target,9,Head,,Hugo Bueno,Pass (Live),Jean-Ricner Bellegarde,Pass (Live),14
33,Toti Gomes,Wolves,0.18,,Off Target,3,Left Foot,,Tommy Doyle,Pass (Dead),Matheus Cunha,Fouled,14
37,Gabriel Martinelli,Arsenal,0.05,,Woodwork,16,Right Foot,,Bukayo Saka,Pass (Live),Takehiro Tomiyasu,Pass (Live),14
37,Declan Rice,Arsenal,0.05,,Blocked,25,Left Foot,,Leandro Trossard,Pass (Live),Bukayo Saka,Pass (Live),14
38,Gabriel Jesus,Arsenal,0.43,,Off Target,2,Right Foot,,Gabriel Dos Santos,Shot,,,14
38,Gabriel Dos Santos,Arsenal,0.11,,Off Target,8,Head,,Bukayo Saka,Pass (Live),Leandro Trossard,Pass (Live),14
45+3,Gabriel Jesus,Arsenal,0.10,0.13,Saved,15,Right Foot,,Martin Odegaard,Pass (Live),,,14
45+6,Leandro Trossard,Arsenal,0.02,,Off Target,27,Right Foot,,Gabriel Martinelli,Pass (Live),Leandro Trossard,Pass (Live),14
50,Hwang Hee-chan,Wolves,0.03,,Off Target,12,Right Foot,,Jean-Ricner Bellegarde,Pass (Live),Hugo Bueno,Pass (Live),14
53,Matheus Cunha,Wolves,0.05,0.25,Saved,13,Left Foot,,Matheus Cunha,Take-On,,,14
58,Leandro Trossard,Arsenal,0.03,,Off Target,31,Left Foot,,Bukayo Saka,Pass (Live),Martin Odegaard,Pass (Live),14
64,Declan Rice,Arsenal,0.06,,Off Target,26,Right Foot,,Martin Odegaard,Pass (Live),Oleksandr Zinchenko,Pass (Live),14
75,Bukayo Saka,Arsenal,0.02,,Off Target,28,Left Foot,,Martin Odegaard,Pass (Live),Takehiro Tomiyasu,Pass (Live),14
82,Leandro Trossard,Arsenal,0.39,0.43,Saved,11,Right Foot,,Martin Odegaard,Pass (Live),Kai Havertz,Pass (Live),14
82,Bukayo Saka,Arsenal,0.11,0.09,Saved,14,Right Foot,,Leandro Trossard,Shot,,,14
83,Hwang Hee-chan,Wolves,0.07,0.20,Saved,11,Right Foot,Deflected,Hwang Hee-chan,Take-On,Matt Doherty,Pass (Live),14
86,Matheus Cunha,Wolves,0.06,0.49,Goal,16,Left Foot,,Nelson Semedo,Tackle,,,14
88,Eddie Nketiah,Arsenal,0.52,,Woodwork,14,Right Foot,,Martin Odegaard,Pass (Live),William Saliba,Pass (Live),14
90,Gabriel Dos Santos,Arsenal,0.24,,Blocked,3,Head,,Bukayo Saka,Pass (Dead),,,14
1,Jay Rodriguez,Burnley,0.12,0.71,Goal,7,Head,Deflected,Charlie Taylor,Pass (Live),Zeki Amdouni,Take-On,14
10,Jay Rodriguez,Burnley,0.10,,Off Target,21,Right Foot,,Zeki Amdouni,Pass (Live),James Trafford,Pass (Live),14
12,Jacob Bruun Larsen,Burnley,0.03,,Blocked,17,Left Foot,,Sander Berge,Pass (Live),Vitinho,Pass (Live),14
13,Gustavo Hamer,Sheffield Utd,0.01,,Off Target,30,Right Foot,,Cameron Archer,Pass (Live),John Fleck,Pass (Live),14
20,Oliver Norwood,Sheffield Utd,0.02,0.15,Saved,33,Right Foot,,Wes Foderingham,Pass (Live),,,14
29,Jacob Bruun Larsen,Burnley,0.41,0.44,Goal,14,Left Foot,,Dara O'Shea,Pass (Live),Vitinho,Pass (Live),14
31,Cameron Archer,Sheffield Utd,0.12,,Off Target,16,Left Foot,,John Fleck,Pass (Live),Auston Trusty,Take-On,14
40,Jacob Bruun Larsen,Burnley,0.02,,Blocked,25,Right Foot,,Jacob Bruun Larsen,Pass (Live),Jay Rodriguez,Pass (Live),14
45+4,Dara O'Shea,Burnley,0.02,,Off Target,10,Head,,Jacob Bruun Larsen,Pass (Dead),Vitinho,Pass (Live),14
46,Jacob Bruun Larsen,Burnley,0.04,,Blocked,13,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Pass (Live),14
54,Luca Koleosho,Burnley,0.05,,Off Target,26,Right Foot,,Luca Koleosho,Take-On,Jacob Bruun Larsen,Pass (Live),14
63,Vitinho,Burnley,0.08,,Blocked,11,Left Foot,,Vitinho,Take-On,Jacob Bruun Larsen,Pass (Live),14
68,William Osula,Sheffield Utd,0.12,0.41,Saved,9,Left Foot,,Gustavo Hamer,Pass (Live),Gustavo Hamer,Take-On,14
69,William Osula,Sheffield Utd,0.09,,Off Target,10,Head,,Benie Adama Traore,Pass (Live),William Osula,Shot,14
73,Zeki Amdouni,Burnley,0.19,0.70,Goal,14,Left Foot,,Zeki Amdouni,Take-On,Jordan Beyer,Pass (Live),14
74,Zeki Amdouni,Burnley,0.06,0.30,Saved,25,Right Foot,,Johann Berg Gudmundsson,Pass (Live),Jay Rodriguez,Pass (Live),14
74,Luca Koleosho,Burnley,0.20,,Woodwork,5,Left Foot,,Zeki Amdouni,Shot,,,14
75,Luca Koleosho,Burnley,0.12,0.19,Goal,13,Right Foot,,Zeki Amdouni,Pass (Live),Vitinho,Pass (Live),14
78,Michael Obafemi,Burnley,0.06,,Off Target,17,Left Foot,,Johann Berg Gudmundsson,Pass (Live),Sander Berge,Pass (Live),14
80,Josh Brownhill,Burnley,0.06,0.31,Goal,21,Right Foot,,Michael Obafemi,Pass (Live),Nathan Redmond,Pass (Live),14
86,Vitinho,Burnley,0.08,,Off Target,13,Left Foot,,Johann Berg Gudmundsson,Pass (Live),Nathan Redmond,Pass (Live),14
87,William Osula,Sheffield Utd,0.03,0.05,Saved,15,Left Foot,,James Mcatee,Pass (Live),,,14
89,Johann Berg Gudmundsson,Burnley,0.06,,Blocked,15,Left Foot,,Nathan Redmond,Pass (Live),Nathan Redmond,Take-On,14
89,Jordan Beyer,Burnley,0.12,,Blocked,4,Head,Deflected,Johann Berg Gudmundsson,Pass (Dead),Johann Berg Gudmundsson,Shot,14
90+4,Josh Brownhill,Burnley,0.01,0.11,Saved,30,Right Foot,,Johann Berg Gudmundsson,Pass (Live),Josh Brownhill,Pass (Dead),14
16,Beto,Everton,0.12,,Off Target,8,Head,,Idrissa Gana Gueye,Pass (Live),Ashley Young,Pass (Live),14
18,James Garner,Everton,0.01,0.13,Saved,33,Right Foot,Volley,James Garner,Pass (Live),Idrissa Gana Gueye,Pass (Live),14
22,Beto,Everton,0.15,,Off Target,14,Right Foot,,Idrissa Gana Gueye,Pass (Live),,,14
31,Anthony Elanga,Nott'ham Forest,0.07,,Off Target,12,Right Foot,Volley,Serge Aurier,Pass (Live),Morgan Gibbs-White,Pass (Live),14
35,Anthony Elanga,Nott'ham Forest,0.03,,Blocked,22,Left Foot,,Serge Aurier,Pass (Live),Serge Aurier,Take-On,14
38,Dwight McNeil,Everton,0.01,,Off Target,16,Head,,James Garner,Pass (Live),James Garner,Interception,14
43,Dwight McNeil,Everton,0.09,,Blocked,14,Left Foot,,Abdoulaye Doucoure,Pass (Live),Ashley Young,Pass (Live),14
45,James Tarkowski,Everton,0.07,,Off Target,23,Left Foot,,James Tarkowski,Pass (Live),James Garner,Pass (Live),14
45+4,Morgan Gibbs-White,Nott'ham Forest,0.05,,Off Target,16,Right Foot,,Ibrahim Sangare,Pass (Live),,,14
47,Anthony Elanga,Nott'ham Forest,0.02,,Blocked,28,Right Foot,,Ryan Yates,Pass (Live),Felipe,Tackle,14
54,Anthony Elanga,Nott'ham Forest,0.04,,Blocked,8,Left Foot,Volley,,,,,14
54,Felipe,Nott'ham Forest,0.08,,Woodwork,6,Left Foot,,Anthony Elanga,Shot,,,14
56,Ashley Young,Everton,0.06,,Blocked,30,Right Foot,Free kick,Dwight McNeil,Fouled,Jack Harrison,Pass (Live),14
60,Dwight McNeil,Everton,0.02,,Blocked,27,Left Foot,,James Garner,Pass (Dead),James Garner,Fouled,14
62,Idrissa Gana Gueye,Everton,0.02,,Blocked,23,Right Foot,,Beto,Pass (Live),Jack Harrison,Pass (Live),14
63,Beto,Everton,0.05,,Off Target,24,Right Foot,,James Tarkowski,Pass (Live),Ashley Young,Pass (Live),14
67,Dwight McNeil,Everton,0.06,0.23,Goal,12,Left Foot,,Idrissa Gana Gueye,Pass (Live),Jack Harrison,Pass (Live),14
74,Ryan Yates,Nott'ham Forest,0.22,0.45,Saved,4,Head,,Harry Toffolo,Pass (Dead),,,14
74,Morgan Gibbs-White,Nott'ham Forest,0.01,,Blocked,14,Left Foot,,Ryan Yates,Shot,,,14
74,Serge Aurier,Nott'ham Forest,0.01,,Off Target,8,Head,,Morgan Gibbs-White,Pass (Dead),Morgan Gibbs-White,Shot,14
78,Ryan Yates,Nott'ham Forest,0.08,,Blocked,17,Left Foot,,Morgan Gibbs-White,Pass (Live),Harry Toffolo,Pass (Live),14
81,Idrissa Gana Gueye,Everton,0.00,,Blocked,27,Right Foot,Volley,Beto,Fouled,,,14
86,Murillo,Nott'ham Forest,0.04,0.04,Saved,26,Left Foot,,Felipe,Pass (Live),Serge Aurier,Pass (Live),14
89,Anthony Elanga,Nott'ham Forest,0.05,,Off Target,18,Right Foot,,Chris Wood,Pass (Live),Callum Hudson-Odoi,Pass (Live),14
90+3,Morgan Gibbs-White,Nott'ham Forest,0.03,,Blocked,28,Right Foot,,Callum Hudson-Odoi,Pass (Live),Callum Hudson-Odoi,Take-On,14
8,Bruno Guimaraes,Newcastle Utd,0.07,,Blocked,14,Right Foot,,Kieran Trippier,Pass (Live),,,14
11,Alejandro Garnacho,Manchester Utd,0.10,0.17,Saved,13,Left Foot,,Bruno Fernandes,Pass (Live),Kobbie Mainoo,Pass (Live),14
13,Aaron Wan-Bissaka,Manchester Utd,0.03,,Blocked,27,Right Foot,,Alejandro Garnacho,Pass (Live),Diogo Dalot,Pass (Live),14
15,Alexander Isak,Newcastle Utd,0.05,,Blocked,10,Right Foot,,Kieran Trippier,Pass (Live),Lewis Miley,Pass (Live),14
16,Anthony Gordon,Newcastle Utd,0.07,,Blocked,25,Right Foot,,Anthony Gordon,Pass (Live),Lewis Miley,Interception,14
16,Anthony Gordon,Newcastle Utd,0.10,0.11,Saved,15,Left Foot,,Anthony Gordon,Shot,,,14
17,Miguel Almiron,Newcastle Utd,0.15,0.47,Saved,10,Left Foot,,Joelinton,Pass (Live),Kieran Trippier,Pass (Live),14
18,Bruno Guimaraes,Newcastle Utd,0.03,,Off Target,26,Right Foot,,Anthony Gordon,Pass (Live),Fabian Schar,Pass (Live),14
20,Alexander Isak,Newcastle Utd,0.25,,Blocked,10,Left Foot,,Bruno Guimaraes,Pass (Live),Lewis Miley,Pass (Live),14
20,Fabian Schar,Newcastle Utd,0.03,,Off Target,11,Head,,Anthony Gordon,Pass (Live),Valentino Livramento,Pass (Live),14
20,Jamaal Lascelles,Newcastle Utd,0.22,,Off Target,5,Head,,Alexander Isak,Pass (Live),Fabian Schar,Shot,14
33,Alexander Isak,Newcastle Utd,0.04,,Off Target,21,Right Foot,,,,,,14
35,Miguel Almiron,Newcastle Utd,0.13,,Off Target,13,Left Foot,,Kieran Trippier,Pass (Live),Fabian Schar,Pass (Live),14
39,Kieran Trippier,Newcastle Utd,0.09,,Woodwork,27,Right Foot,Free kick,Fabian Schar,Fouled,Anthony Gordon,Pass (Live),14
45,Fabian Schar,Newcastle Utd,0.08,,Blocked,12,Right Foot,Volley,Kieran Trippier,Pass (Dead),,,14
45,Fabian Schar,Newcastle Utd,0.03,,Off Target,21,Right Foot,,Joelinton,Pass (Live),Fabian Schar,Pass (Live),14
47,Miguel Almiron,Newcastle Utd,0.03,,Off Target,20,Left Foot,,Valentino Livramento,Pass (Live),Valentino Livramento,Take-On,14
55,Joelinton,Newcastle Utd,0.08,0.02,Saved,21,Left Foot,,Joelinton,Take-On,Kieran Trippier,Pass (Live),14
55,Anthony Gordon,Newcastle Utd,0.57,0.90,Goal,3,Right Foot,,Kieran Trippier,Pass (Live),Bruno Guimaraes,Pass (Live),14
58,Fabian Schar,Newcastle Utd,0.04,,Off Target,32,Right Foot,,Bruno Guimaraes,Pass (Live),Kieran Trippier,Pass (Live),14
60,Miguel Almiron,Newcastle Utd,0.04,,Blocked,19,Left Foot,,Kieran Trippier,Tackle,,,14
63,Harry Maguire,Manchester Utd,0.03,,Off Target,13,Head,,Luke Shaw,Pass (Dead),Rasmus Hojlund,Fouled,14
71,Kieran Trippier,Newcastle Utd,0.02,,Off Target,30,Right Foot,,Bruno Guimaraes,Pass (Live),Anthony Gordon,Pass (Live),14
78,Miguel Almiron,Newcastle Utd,0.12,,Off Target,9,Left Foot,,Joelinton,Pass (Live),Kieran Trippier,Pass (Live),14
78,Lewis Miley,Newcastle Utd,0.25,,Blocked,9,Left Foot,,Miguel Almiron,Shot,,,14
